노선ID,노선명,노선이력ID,지역ID,노선유형,배차,첫차시간,막차시간,거리,요금,노선설명,운행여부,곡률도,일반첫차일시,당일막차일시,일반막차여부,막차차량ID,저상버스첫차일시,저상버스막차일시,저상버스막차여부,저상버스막차ID,노선약칭,운행종료시간,운행종료이용,사용여부,노선운행구분,최소배차,최대배차,최고속도,최저속도,평균속도,좌석표출여부,운행소요시간,종점대기시간,인가선수,예비차량건수,대표노선ID,도착정보생성유형(1:교차로/2:정류장),기점명(인가정보),종점명(인가정보),배차(토요일),배차(공휴일),첫차시간(토요일),첫차시간(공휴일),막차시간(토요일),막차시간(공휴일)
100100279,5623,0,523,4,8,0.0400,0.2220,56.0,0.0,,1,1.263,20150717000000,20150717000000,,0,,20150717000000,,0,5623,..,0,1,0,6,11,0,0,0,1,222,20,37,1,0,1,군포공영차고지,여의도,10,10,0.0400,0.0400,0.2220,0.2220
112900002,서대문12,0,523,2,12,0.0600,0.2300,4.5,0.0,,1,1.528,20160601000000,20160601000000,,0,20201223000000,,,0,서대12,0.,0,1,0,8,20,0,0,0,0,27,0,4,0,0,1,유원아파트,홍제역,17,17,0.0600,0.0600,0.2300,0.2300
111000011,773,0,229,3,17,0.0430,0.2330,75.0,0.0,,0,1.728,,,,0,20240829000000,20220526000000,,0,773,0.,0,0,0,15,20,0,0,0,1,210,0,19,1,0,1,진관차고지,구파발역2번출구,17,17,0.0430,0.0430,0.2330,0.2330
110900004,노원01,0,523,2,15,0.0600,0.2355,2.6,0.0,,1,1.228,20160601000000,20160601000000,,0,,,,0,노원01,0.,0,1,0,10,20,0,0,0,0,18,0,2,0,0,1,보람사거리,상계역,15,15,0.0600,0.0600,0.2355,0.2355
107900015,성북15,0,523,2,14,0.0600,0.2345,2.0,0.0,,1,2.02,20160601000000,20160601000000,,0,,,,0,성북15,0.,0,1,0,12,16,0,0,0,0,12,0,1,0,0,1,고려아파트,한미약국,16,16,0.0600,0.0600,0.2345,0.2345
100100105,702B,0,523,3,16,0.0405,0.2235,46.32,0.0,,1,1.324,20150717000000,20150717000000,0,0,20250113000000,20201020000000,,0,702B,..,0,1,0,11,25,0,0,0,1,180,0,14,0,0,1,원당,종로1가,20,20,0.0405,0.0405,0.2235,0.2235
124000039,3323,0,124,4,14,0.0430,0.2240,33.6,0.0,,1,1.998,,,,0,,,,0,3323,..,0,1,0,11,20,0,0,0,1,155,0,15,1,0,1,강동차고지,잠실새내역,17,17,0.0430,0.0430,0.2240,0.2240
104000009,111,0,207,3,22,0.0410,0.2220,57.1,0.0,,1,1.285,,,,0,,20211125000000,,0,111,..,0,1,0,15,30,0,0,0,1,230,0,0,0,0,1,민락동차고지,동대문,26,28,0.0410,0.0410,0.2220,0.2220
100100304,6627,0,523,4,14,0.0430,0.2300,28.34,0.0,,1,2.962,20190716000000,20190716000000,,0,,20150717000000,,0,6627,..,0,1,0,11,18,0,0,0,1,130,0,13,1,0,1,양천공영차고지,이대목동병원,15,16,0.0430,0.0430,0.2300,0.2300
100100278,5621,0,523,4,8,0.0520,0.2350,6.45,0.0,,1,1.354,20150717000000,20150717000000,0,0,,,,0,5621,..,0,1,0,6,10,0,0,0,1,30,0,8,0,0,1,삼익아파트,구로디지털단지역,9,10,0.0520,0.0520,0.2350,0.2350
124000036,345,0,123,3,12,0.0400,0.2250,49.0,0.0,,1,1.861,20150717000000,20220629000000,,0,20190729000000,20190222000000,,0,345,..,0,1,0,9,15,0,0,0,1,210,0,25,1,0,1,복정역환승센터,구반포역,13,13,0.0400,0.0400,0.2250,0.2250
121900014,서초22,0,523,2,14,0.0600,0.2300,3.5,0.0,,1,1.471,20160601000000,20160601000000,,0,,,,0,서초22,.,0,1,0,10,22,0,0,0,0,20,0,3,0,0,1,남부터미널,국립국악원,16,19,0.0600,0.0600,0.2300,0.2300
121900010,서초14,0,523,2,9,0.0600,0.2300,10.6,0.0,,1,1.674,20160601000000,20160601000000,,0,,,,0,서초14,.,0,1,0,8,15,0,0,0,0,70,0,7,1,0,1,이수역,고속터미널,11,13,0.0600,0.0600,0.2300,0.2230
115900005,강서05,0,523,2,10,0.0530,0.2320,18.2,0.0,,1,4.398,20160601000000,20160601000000,,0,,,,0,강서05,0.2220,3,1,0,7,14,0,0,0,1,90,0,20,0,0,1,강서농수산물시장,발산역,10,11,0.0530,0.0530,0.2320,0.2320
103900001,성동09,0,523,2,8,0.0550,0.2338,2.8,0.0,,1,2.821,20160601000000,20160601000000,,0,,,,0,성동09,0.,0,1,0,6,10,0,0,0,0,20,0,3,0,0,1,극동아파트5동,옥수역,9,9,0.0550,0.0557,0.2338,0.2330
119900014,동작06,0,523,2,15,0.0600,0.2330,4.8,0.0,,1,2.447,20160601000000,20160601000000,,0,,,,0,동작06,0.,0,1,0,12,25,0,0,0,0,36,0,4,0,0,1,이수역,사랑의병원,16,21,0.0600,0.0600,0.2330,0.2330
100100413,6002,0,523,1,16,0.0410,0.2310,161.0,0.0,,1,1.518,20240306000000,20150717000000,,0,,,,0,6002,0.1920,1,1,0,12,20,0,0,0,0,265,0,29,3,0,1,인천공항,청량리역,16,16,0.0410,0.0410,0.2310,0.2310
100100177,1218,0,108,4,11,0.0410,0.2250,31.7,0.0,,1,2.0,20150717000000,20150717000000,,0,20190730000000,20150717000000,,0,1218,..,0,1,0,7,14,0,0,0,1,138,20,19,0,0,1,수유역,답십리,11,11,0.0410,0.0410,0.2250,0.2250
100100584,6010,0,523,1,70,0.0410,0.2250,137.0,0.0,,1,1.558,,,,0,,,,0,6010,..,0,1,0,60,80,0,0,0,0,0,0,9,4,0,1,왕십리역,인천국제공항,74,74,0.0410,0.0410,0.2250,0.2250
100100420,6013,0,523,1,30,0.0420,0.2305,167.0,0.0,,1,1.638,20190117000000,20150717000000,,0,,,,0,6013,0.1730,1,1,0,20,40,0,0,0,0,240,0,14,2,0,1,인천공항,홈플러스면목점,30,30,0.0420,0.0420,0.2305,0.2305
213000029,200광명,523,213,8,40,0.050000,0.230000,0.0,0.0,정보없음,1,0.0,,,,0,,,,0,200,,,1,12,20,60,0,0,0,,0,0,0,0,0,1,KTX광명역5번출구,목동7단지.종로학원,0,0,,,,
100100533,6017,0,523,1,28,0.0420,0.2250,156.0,0.0,,1,1.829,,,,0,,,,0,6017,..,0,1,0,25,30,0,0,0,0,220,0,12,1,0,1,인천공항,서울대호암교수회관,28,28,0.0420,0.0420,0.2250,0.2250
122000003,6101-1,0,,1,90,0.0440,0.1920,106.0,0.0,,0,0.0,20190920000000,,,0,20190813000000,,,0,6101-1,0.,0,0,0,60,120,0,0,0,,170,0,4,1,0,2,숭례초교,김포공항,93,93,0.0440,0.0440,0.1920,0.1920
100100220,3314,0,523,4,10,0.0440,0.2320,29.4,0.0,,1,2.312,20150717000000,20150717000000,,0,,20201026000000,,0,3314,..,0,1,0,7,15,0,0,0,1,117,0,18,0,0,1,장지공영차고지,종합운동장,12,15,0.0440,0.0440,0.2320,0.2320
204000007,357성남,523,204,8,28,0.050000,0.223000,0.0,0.0,정보없음,1,0.0,,,,0,,,,0,357,,,1,13,14,42,0,0,0,,0,0,0,0,0,1,상대원차고지,삼부아파트,0,0,,,,
100100018,130,0,108,3,8,0.0420,0.2250,48.7,0.0,,1,1.369,20160601000000,20160601000000,0,0,20190118000000,20200629000000,,0,130,..,0,1,0,3,14,0,0,0,1,0,0,0,0,0,1,우이동,길동,11,11,0.0420,0.0420,0.2250,0.2250
100100061,370,0,523,3,5,0.0400,0.2250,48.7,0.0,,1,1.409,20150717000000,20241231000000,,0,20201209000000,20150717000000,,0,370,..,0,1,0,1,10,0,0,0,1,165,0,39,2,0,1,강동공영차고지,충정로역,8,9,0.0400,0.0400,0.2250,0.2250
100100437,771,0,523,3,24,0.0410,0.2330,53.0,0.0,,1,1.42,20150717000000,20150717000000,,0,20240919000000,20240919000000,,0,771,..,0,1,0,16,27,0,0,0,1,190,45,11,0,0,1,대화동종점,디지털미디어시티역,26,27,0.0410,0.0410,0.2330,0.2330
113000003,8762,0,523,4,16,0.0630,0.1954,13.0,0.0,,1,1.317,,,,0,,,,0,8762,..,0,1,0,14,17,0,0,0,1,52,0,4,1,0,1,디지털미디어시티역,가양역.마포중고등학교,0,0,0.0000,0.0000,0.0000,0.0000
107000004,8003,0,100,4,40,0.0600,0.2300,6.7,0.0,,1,2.629,,,,0,,20210128000000,,0,8003,..,0,1,0,20,40,0,0,0,1,40,0,2,0,0,1,평창동주민센터,평창동주민센터,30,40,0.0600,0.0600,0.2300,0.2240
108900008,강북05,0,523,2,10,0.0517,0.2350,8.4,0.0,,1,2.596,20160601000000,20160601000000,,0,,,,0,강북05,0.,0,1,0,5,20,0,0,0,0,75,0,15,0,0,1,번동초등학교,한일아파트,15,15,0.0517,0.0517,0.2350,0.2350
116000001,8552,0,120,4,12,0.0730,0.0915,7.6,0.0,,1,1.083,,20190201000000,,0,,,,0,8552,..,0,1,0,11,13,0,0,0,1,28,0,3,0,0,1,신림복지관앞,신림역,0,0,0.0000,0.0000,0.0000,0.0000
100100156,1141,1,523,4,16,0.0500,0.2350,15.5,0.0,,1,2.031,20150717000000,20150717000000,0,0,,,,0,1141,..,0,1,0,12,30,0,0,0,1,73,0,6,0,0,1,중계본동종점,석계역,25,25,0.0500,0.0500,0.2350,0.2350
114900001,양천01,0,,2,6,0.0530,0.2340,13.6,0.0,,1,1.969,20150720000000,20150720000000,,0,,,,0,양천01,0.,0,1,0,5,9,0,0,0,0,56,0,10,0,0,1,등촌역,당산역,6,9,0.0530,0.0530,0.2340,0.2340
122900008,강남08,0,523,2,22,0.0600,0.2300,11.9,0.0,,1,1.428,20160601000000,20160601000000,,0,,,,0,강남08,.,0,1,0,18,25,0,0,0,0,55,0,5,0,0,1,신사역,삼성역,22,22,0.0600,0.0600,0.2300,0.2300
221000040,680구리,523,221,8,50,0.055500,0.215000,0.0,0.0,정보없음,1,0.0,,,,0,,,,0,680,,,1,13,25,75,0,0,0,,0,0,0,0,0,1,구리수택차고지,한라비발디후문,0,0,,,,
119900015,동작18,0,523,2,28,0.0600,0.2315,13.0,0.0,,1,1.474,20160601000000,20160601000000,,0,,,,0,동작18,0.,0,1,0,25,30,0,0,0,0,26,0,1,0,0,1,극동아파트,사당역,28,28,0.0600,0.0600,0.2315,0.2315
100100289,6211,0,523,4,11,0.0420,0.2230,52.68,0.0,,1,1.497,20150717000000,20150717000000,,0,20151125000000,20150717000000,,0,6211,..,0,1,0,8,14,0,0,0,1,0,0,24,1,0,1,신월동,상왕십리,12,12,0.0420,0.0420,0.2230,0.2230
104000014,040,0,,3,15,0.0430,0.2240,38.5,0.0,,1,0.0,,,,0,,,,0,040,0.,0,1,0,13,20,0,0,0,1,195,0,15,3,0,1,용산공영차고지,개포동,17,19,0.0430,0.0430,0.2240,0.2240
110000002,173,0,110,3,11,0.0400,0.2250,43.2,0.0,청계천 우회 (토 14:00~ 일 22:00),1,1.801,,,,0,,,,0,173,0.,0,1,0,7,16,0,0,0,1,195,0,25,1,0,1,월계동,신촌기차역,14,14,0.0400,0.0400,0.2250,0.2250
